"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mytilidae,%20Lucinidae,%20Pectinidae,%20Pholadomyidae,%20Veneridae&taxon_reso=species&idqual=certain&max_ma=251.9&min_ma=0&show=class,classext,refattr,acconly"
"Access Time","Thu 2020-01-16 18:06:21 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mytilidae, Lucinidae, Pectinidae, Pholadomyidae, Veneridae"
"","idreso","species"
"","idqual","certain"
"","min_ma","0"
"","max_ma","251.9"
"","timerule","major"
"","taxon_status","all"
"","show","class,classext,refattr,acconly"
"Elapsed Time","0.786"
"Records Found","16488"
"Records Returned","16488"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no"
"15364","occ","","","1301","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15365","occ","","F","1301","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15398","occ","","F","1302","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15433","occ","","F","1303","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15444","occ","","","1303","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15479","occ","","F","1303","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15480","occ","","","1303","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15490","occ","","","1303","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15526","occ","","","1303","Pholadomya occidentalis","species","61723","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya","18795",""
"15590","occ","","","1304","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15593","occ","","F","1304","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15612","occ","","F","1305","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15646","occ","","","1305","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15647","occ","","","1305","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
